Day of Week,Activities,Average_Calories,Average_Steps,Average_Workout_Duration
Monday,67,416.76119402985074,8872.074626865671,50.82089552238806
Tuesday,79,377.75949367088606,9401.316455696202,52.69620253164557
Wednesday,69,432.57971014492756,9346.36231884058,51.88405797101449
Thursday,75,387.2,8848.346666666666,48.16
Friday,78,411.94871794871796,9138.051282051281,51.26923076923077
Saturday,84,378.3690476190476,9283.154761904761,50.69047619047619
Sunday,68,430.61764705882354,9764.89705882353,51.23529411764706
